250.00 	72.97 	72.97 
251.00 	69.48 	69.48 
252.00 	65.97 	65.97 
253.00 	62.43 	62.43 
254.00 	58.88 	58.88 
255.00 	55.31 	55.31 
256.00 	51.72 	51.72 
257.00 	48.12 	48.12 
258.00 	44.50 	44.50 
259.00 	40.87 	40.87 
260.00 	37.22 	37.22 
261.00 	33.57 	33.57 
262.00 	29.90 	29.90 
263.00 	26.23 	26.23 
264.00 	22.55 	22.55 
265.00 	18.86 	18.86 
266.00 	15.16 	15.16 
267.00 	11.46 	11.46 
268.00 	7.76 	7.76 
269.00 	4.05 	4.05 
270.00 	0.35 	0.35 
271.00 	3.36 	-3.36 
272.00 	7.07 	-7.07 
273.00 	10.77 	-10.77 
274.00 	14.47 	-14.47 
275.00 	18.17 	-18.17 
276.00 	21.86 	-21.86 
277.00 	25.54 	-25.54 
278.00 	29.22 	-29.22 
279.00 	32.88 	-32.88 
280.00 	36.54 	-36.54 
281.00 	40.19 	-40.19 
282.00 	43.82 	-43.82 
283.00 	47.44 	-47.44 
284.00 	51.05 	-51.05 
285.00 	54.64 	-54.64 
286.00 	58.21 	-58.21 
287.00 	61.77 	-61.77 
288.00 	65.30 	-65.30 
289.00 	68.82 	-68.82 
290.00 	72.32 	-72.32 
291.00 	75.79 	-75.79 
292.00 	79.24 	-79.24 
293.00 	82.67 	-82.67 
294.00 	86.07 	-86.07 
295.00 	89.45 	-89.45 
296.00 	92.80 	-92.80 
297.00 	96.12 	-96.12 
298.00 	99.41 	-99.41 
299.00 	102.67 	-102.67 
300.00 	105.90 	-105.90 
301.00 	109.10 	-109.10 
302.00 	112.26 	-112.26 
303.00 	115.39 	-115.39 
304.00 	118.48 	-118.48 
305.00 	121.54 	-121.54 
306.00 	124.56 	-124.56 
307.00 	127.55 	-127.55 
308.00 	130.49 	-130.49 
309.00 	133.40 	-133.40 
310.00 	136.26 	-136.26 
311.00 	139.08 	-139.08 
312.00 	141.86 	-141.86 
313.00 	144.60 	-144.60 
314.00 	147.29 	-147.29 
315.00 	149.94 	-149.94 
316.00 	152.54 	-152.54 
317.00 	155.10 	-155.10 
318.00 	157.61 	-157.61 
319.00 	160.07 	-160.07 
320.00 	162.48 	-162.48 
321.00 	164.85 	-164.85 
322.00 	167.16 	-167.16 
323.00 	169.42 	-169.42 
324.00 	171.63 	-171.63 
325.00 	173.79 	-173.79 
326.00 	175.89 	-175.89 
327.00 	177.94 	-177.94 
328.00 	179.94 	-179.94 
